Per capita government expenditure on health (PPP int. $),1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Liberia,,,,4.24680637,5.27913144,5.65754766,6.67524601,4.58080198,3.5768278,4.20471686,5.41426026,6.97089682,10.80099535,15.8906996,17.1258355,16.02606618
Libya,110.59142001,104.07344439,99.70958227,137.27165008,195.96194781,213.7258698,288.73392187,341.60760009,337.87581925,275.13271445,245.42595509,236.83737532,312.05800046,362.08158616,477.6632736,490.14184656
Liechtenstein,,,,,,,,,,,,,,,,
Lithuania,247.35647434,262.13272746,304.53050998,369.67316252,372.42664228,390.00752121,436.61879417,509.10999368,595.78377192,499.54110513,564.5094988,694.74233656,830.07810521,941.14458261,948.56557698,954.92990048
Luxembourg,2002.58369856,2111.38243054,2114.87103987,2265.84834162,2567.27176269,3412.20652065,3363.09526464,4068.11523805,3919.47434112,4522.52397196,4611.57962111,5179.54936963,5072.84192905,5106.69874709,5538.41629701,5691.67271105
"Macao, China",,,,,,,,,,,,,,,,
"Macedonia, FYR",247.56944645,261.02796005,289.00724816,353.16720166,296.78668352,299.22449821,291.66351844,332.20408589,349.69466068,364.69739456,393.89394365,447.37172843,418.7426632,506.60881104,507.58516869,504.25646671
Madagascar,10.68384257,13.38683702,15.20616288,14.42464982,15.10748602,19.78176358,22.33850421,18.72495648,17.81916808,19.73808406,21.33394148,24.21028879,26.59805848,31.91821904,26.21848008,21.8903341
Malawi,9.48915215,6.88935424,9.01049773,10.84952553,13.32823192,16.43313902,12.3991649,16.41729312,27.0999069,35.74651708,39.11815903,43.16536034,36.7752431,36.16505435,42.16695706,39.33877066
Malaysia,129.28003316,143.71495064,137.10714712,139.19693664,151.45664211,165.91919105,197.88833807,206.62313849,260.95819093,240.58778641,213.90545966,270.6099329,276.89038223,294.05017499,350.27780941,355.91515048
Maldives,76.12021738,81.41328407,88.36241674,96.00964003,108.75428653,127.1777255,125.45065624,131.31602318,168.22833723,204.94604173,273.5900806,324.46917252,333.87699215,431.12966072,277.4356058,280.68601559
Mali,16.53471932,18.54841641,16.46387274,14.99582064,13.66437445,15.26167005,24.66492153,18.60517828,21.80765872,26.31060803,25.58802989,27.61336441,27.06866078,26.11549645,26.8415593,25.88760896
Malta,591.91447795,611.49527389,695.50586775,739.59448111,767.29564024,904.29668104,915.48316505,1091.38728618,1154.01074503,1208.02734058,1350.22297862,1426.11350954,1360.01727552,1359.94616213,1387.04404189,1480.72963954
Marshall Islands,269.10872684,336.14683914,345.11467885,237.96387288,228.51679606,292.54799118,260.69457938,256.23167275,235.58963511,259.83394511,257.06835182,284.31682992,309.86720045,279.17088235,328.77046556,313.86366075
Martinique,,,,,,,,,,,,,,,,
Mauritania,32.45352147,22.49007043,23.24255171,33.51474518,48.79370911,48.36299022,36.6675762,49.24958264,44.38048923,53.23640772,47.84883951,44.34199667,48.96609622,48.62835576,41.64484402,41.95678539
Mauritius,116.08558532,118.67274807,126.94728196,138.30960893,137.43194799,158.58189324,167.5634783,187.22465793,196.91429923,227.63917278,222.5595257,226.64016769,216.88697921,221.1899373,265.17686632,334.73956575
Mayotte,,,,,,,,,,,,,,,,
Mexico,162.59091717,153.16613016,181.86317413,199.7649428,224.72121779,236.73643943,247.32681386,255.9164674,277.79361377,310.8906784,328.95175798,351.01039236,382.07493685,418.407179,444.80659406,
"Micronesia, Fed. Sts.",212.3107794,195.65990058,169.25907295,158.42223267,179.98181877,199.83303179,226.51950032,212.29115362,265.33022539,286.9238555,345.37831105,345.66718128,349.23550671,363.48989746,384.29104365,410.86006942
Moldova,73.99819049,82.96074201,78.49800078,55.4957588,35.69530542,47.43924003,51.24749824,70.87783167,75.99141873,88.71015971,98.64369044,120.89189324,134.06834499,162.04996839,173.0494897,165.04522017
Monaco,2012.45510467,1993.36028221,2171.06783708,2181.09421218,2438.09270154,2459.01448736,2601.85804926,2702.74209018,3264.81477806,3535.32644952,3689.2625435,3810.79954622,3941.78128596,4775.0355038,5219.04449534,5238.14947611
Mongolia,40.18114758,51.34796552,54.43244207,58.62590905,63.69001237,73.58050383,78.05954416,81.40417378,78.94588107,85.93709172,75.94839015,80.99371917,106.3010204,124.89835362,118.75900739,119.83755223
Montenegro,312.18078498,296.95680444,305.27086716,325.90118781,302.28874287,327.58292627,389.6980288,399.49161343,474.73869846,477.16581168,496.66336852,579.26926987,664.7020392,771.94784091,866.1935342,776.01345984
Montserrat,,,,,,,,,,,,,,,,
Morocco,26.74145997,29.27795923,26.87299335,28.57394632,29.27148916,32.11798546,40.54216809,40.65442929,44.19775386,48.30624805,51.0279181,67.20696613,77.06782925,83.93238164,93.43061137,93.37522917
Mozambique,11.13465684,9.03809986,11.24529341,12.36901845,15.89603175,19.34369677,19.8337917,24.15746786,23.31352716,21.59789273,28.83058114,28.95837476,27.78554845,24.53171188,34.62640581,34.92579529
Myanmar,1.89489297,1.56088022,1.2996305,0.96825731,1.09899887,1.90042084,1.84825857,3.08843865,2.77280716,3.53517295,2.5470087,4.58961642,4.06162781,4.4520159,4.03326856,4.19054279
Namibia,155.71978443,170.85469835,182.55544891,186.89817142,197.03528955,167.67705073,140.07791635,150.66584507,164.05391119,160.38850264,186.33396156,176.78755055,226.99047136,232.00979239,246.32753932,254.29958441
Nauru,908.97693079,778.68035483,723.07886983,701.95142496,668.35414237,407.02684212,406.46360077,402.46783808,393.87136161,269.57484004,286.58796961,219.11409359,326.10382885,289.97813371,175.47292697,180.57396888
Nepal,5.36139354,5.78861037,7.50299477,8.86349692,7.5515621,9.05883307,12.63397878,12.93800588,12.36433604,15.85425271,18.05214351,21.70046329,18.771297,24.3978473,25.50114418,21.77185579
Netherlands,1274.57656085,1230.29307157,1298.72663449,1317.52851656,1366.13481427,1476.116917,1604.51524056,1769.66871163,1895.25203008,1980.61605925,2087.8405004,2798.85089374,2966.25729662,3183.53834555,3857.81863495,3991.23765793
Netherlands Antilles,,,,,,,,,,,,,,,,
New Caledonia,,,,,,,,,,,,,,,,
New Zealand,956.37443845,968.82939735,1042.27470547,1115.40548049,1177.09614882,1250.42419728,1299.76195527,1426.56314473,1442.52526633,1566.49930014,1686.90707395,1904.96174684,2007.94487096,2229.80499123,2413.50151205,2513.31639965
Ngorno-Karabakh,,,,,,,,,,,,,,,,
Nicaragua,80.61811558,77.68989685,54.85100131,60.9495479,57.1498461,70.83655154,72.34999612,77.1747881,92.21627097,96.53322376,104.56473086,111.75562701,130.51048315,138.21859476,139.12614597,
Niger,6.88569682,6.20188533,8.16102555,9.01246714,8.76077036,7.46485956,9.74394779,10.28528335,9.55429692,10.2444539,17.97129439,20.43112204,17.5651846,19.21147617,18.53688609,18.79452203
Nigeria,13.09198818,11.11277863,13.17571306,17.9418077,20.20737638,20.05381232,20.17185008,13.50289219,25.08805218,37.46415251,33.69758184,36.25003722,47.52552114,50.18310519,47.65812879,45.98264783
Niue,245.71809153,321.75557293,303.60065427,292.48194337,306.34439237,801.71358629,4130.99482162,1245.53043503,1564.61185873,1999.23340548,2014.9823689,2562.70621777,2780.91052385,3017.99907969,3257.41927955,3548.8708903
Norfolk Island,,,,,,,,,,,,,,,,
Northern Cyprus,,,,,,,,,,,,,,,,
Northern Mariana Islands,,,,,,,,,,,,,,,,
Norway,1730.33221174,1832.75979333,1909.48752966,2084.52909386,2295.02806585,2509.49990006,2727.73268972,3028.34147353,3209.79030322,3408.11725019,3594.0287519,3860.81091433,4110.51316235,4407.62930071,4501.66515924,4552.34560958
Oman,394.83705203,398.82032434,400.21479255,450.73424279,436.5215534,536.9342259,580.26949171,626.03165728,626.27499522,606.60799085,562.7428686,529.04597787,599.84608135,478.80665652,650.77062903,478.86806945
Pakistan,12.13457953,13.66367063,12.63695792,11.0867471,11.09909771,10.47672602,9.67789284,14.4483116,11.98859606,13.65745438,14.99170674,18.82479485,19.66504082,21.39393492,19.76766058,22.59311033
Palau,991.25043127,1144.97245881,1124.32148661,913.02119487,926.80797903,946.27737095,949.53768478,931.91117273,958.56788874,1116.53732744,1078.19552425,1155.9800071,1208.69066649,1091.82376573,1115.29584079,1088.97073074
Panama,305.39540495,276.26045156,309.43921407,320.17111704,318.15352967,380.91424412,376.80954119,411.29326392,391.34789015,479.1029861,477.15659943,476.62973838,495.00905744,640.12936378,788.04189656,843.71959785
Papua New Guinea,55.20642425,61.31515341,51.06643264,56.04783827,60.10361427,56.29756974,64.63595888,61.78364938,56.79714974,67.34600421,57.02332484,50.89940676,48.55239473,54.48046077,60.05261919,62.75820684
Paraguay,83.03911689,98.33365274,97.06785383,114.27039543,121.28916478,125.91565896,108.50473684,98.30122134,84.41564917,86.40880694,95.93362439,111.09626347,109.54777247,115.75979917,115.21081854,110.07495823
Peru,105.3189406,109.25494447,107.45494108,118.58611783,130.42700081,135.3763969,134.58408993,145.04198411,145.29566011,150.30347289,169.2618114,178.72974197,231.7936502,309.92954482,268.66507695,259.86661111
Philippines,28.01662911,31.40754394,35.35150089,30.72741594,32.70978323,36.50409293,32.6237606,28.37252685,34.87004442,36.89192054,41.8222344,39.75057739,41.50414516,39.82165137,46.64313125,50.31304161
Pitcairn,,,,,,,,,,,,,,,,
Poland,298.57256294,350.16625657,357.77048858,365.58805933,407.74359436,408.56778992,461.30088667,521.37615698,523.04935744,553.73236254,593.61112614,653.06491557,763.52358306,913.57901345,1005.84330578,1071.93563401
Portugal,634.84635008,713.3465407,762.23131474,812.05770775,897.77181607,1091.96577455,1133.47727443,1207.28332936,1287.08072185,1339.52220826,1483.91670821,1522.3800084,1590.50614835,1632.81287792,1824.79535535,1920.73767867
Puerto Rico,,,,,,,,,,,,,,,,
Qatar,976.93866643,1067.11732255,1226.25178031,1382.7095263,495.48204304,1043.55685595,1305.60520227,1465.51597747,2535.04820318,2508.59719737,2093.31978743,1829.14446662,1572.66727731,1236.49022441,1540.72595081,1256.64568867
Reunion,,,,,,,,,,,,,,,,
Romania,136.94148704,141.90700344,185.07455366,150.92510619,181.67505776,201.1999083,227.0009182,265.65105179,347.20446986,359.79577239,417.80674278,453.389981,551.38130582,668.41002671,646.37290296,633.67785796
Russia,221.58254963,218.2052428,285.99098102,235.30409847,211.94963838,221.16022309,244.67357095,283.0726274,304.12223433,315.69736117,381.05783716,499.86916453,575.30735777,624.87831784,660.86742975,619.73289523
Rwanda,7.81334613,9.84831113,10.37427989,14.41397354,11.24350751,9.68455652,13.27957835,15.20737624,23.40948053,25.32508147,30.96618138,46.19528684,43.4396252,47.69866378,53.8223155,60.59404271
St. Barthélemy,,,,,,,,,,,,,,,,
St. Helena,,,,,,,,,,,,,,,,
St. Kitts and Nevis,260.88747113,275.32088419,276.7515575,286.5040331,302.52462416,341.80696004,322.9793274,308.29146107,290.98524283,279.67165756,305.65654801,421.42657095,410.92190562,366.11613,339.06272367,525.47805369
St. Lucia,189.98203902,233.91870591,200.86774864,219.22207754,224.41723685,232.87898971,245.61244135,251.19176123,242.28541689,264.84010977,273.26526276,332.02302106,335.39969479,410.46608043,502.2037563,486.36895948
St. Martin,,,,,,,,,,,,,,,,
St. Vincent and the Grenadines,144.72514013,148.61779301,178.19501925,164.56402888,178.5503024,192.4000099,203.52079418,238.21579037,247.73590592,254.67840612,261.60358467,315.43431597,357.59266029,438.11538504,410.95288408,402.65285409
St.-Pierre-et-Miquelon,,,,,,,,,,,,,,,,
Samoa,71.68028681,90.46876608,93.82731266,101.91113932,119.77419587,125.25227257,127.46756839,137.86268414,136.13457848,144.13816629,154.27175211,182.09692664,213.10324043,213.14992897,199.73566379,247.697221
San Marino,1672.13847202,1701.94437285,1732.86049209,1842.62300013,2042.75618005,2119.77208948,2196.35697354,2851.06555432,2236.04555502,2452.37237339,2486.04174352,2517.25424761,2626.73067475,2554.0085695,2417.17762965,2435.41861154
Sao Tome and Principe,34.5571352,32.14036537,84.41800712,85.04319086,115.38033368,115.80142385,36.93572189,39.53296468,73.56621866,68.58189765,82.20734714,61.96078696,59.72549752,58.4577887,57.89684113,54.43901679
Saudi Arabia,243.42003082,264.20063904,295.7242316,338.1695581,482.56465505,549.709682,584.59439337,543.90777304,538.8229051,513.01777727,526.37045256,588.17951783,582.96891125,460.51536357,601.50432178,608.20904596
Senegal,14.74098944,17.28515517,17.02184136,18.10613975,21.2371404,21.55944509,23.68450756,27.35862103,31.1143295,33.69943843,50.06150115,57.54019437,58.22456994,58.71381362,57.73468245,60.24906171
Serbia,186.58790702,129.75131919,213.98019522,229.08004156,207.28682275,302.15782781,326.87783671,428.9288885,433.31620242,463.30300652,509.30012222,560.17139113,642.92535296,737.74643474,719.05629862,723.31293585
Serbia and Montenegro,,,,,,,,,,,,,,,,
Serbia excluding Kosovo,,,,,,,,,,,,,,,,
Seychelles,525.8920963,588.13443644,716.88448588,681.61580361,703.89745056,664.37286588,650.47141838,638.77861414,685.32224021,741.44657761,668.37570992,711.70439764,678.9194851,659.99890464,660.21428015,721.48447542
Sierra Leone,5.98392343,6.23558191,6.08506938,4.95198737,6.70153535,7.78175292,9.33595277,11.67314746,12.99825939,8.78320145,11.78357362,10.40748758,6.86147621,10.22897681,11.53864361,12.14592096
Singapore,386.60707483,394.21041564,411.07300963,494.25982791,469.17409493,421.88512296,417.28619106,379.38154847,503.03381903,426.2862784,465.53848541,482.53347996,502.94422175,609.68077967,762.41027828,824.98255743
Slovak Republic,446.02461155,515.42937673,516.71601537,534.67634745,536.78623649,539.70145687,593.26334887,650.06598671,698.80313608,779.82323736,847.71612151,922.28717089,1082.51532294,1260.11099621,1369.11533403,1356.76528575
Slovenia,754.65924067,803.90267849,863.60705417,925.19811529,985.81041613,1073.34575383,1158.16681108,1249.69767766,1269.37147066,1358.02497665,1424.08202512,1520.50298629,1531.76558913,1793.88350937,1872.70332852,1879.48590271
Solomon Islands,73.06042854,67.90426874,72.64219189,78.47525599,83.39848268,86.1923196,113.07604895,102.60755481,105.09144625,101.53361703,159.94958653,138.8283455,133.5388595,136.97562144,212.68182465,212.29535405
Somalia,7.21987173,7.4288293,7.45645314,7.775139,7.47872991,7.55987041,7.68091101,,,,,,,,,
Somaliland,,,,,,,,,,,,,,,,
South Africa,169.29717193,171.36965191,197.61327456,209.29142895,226.11981378,228.14670166,239.12143696,241.82578088,260.01959841,257.19115437,286.62139107,311.75952385,339.70039754,375.33124728,406.9671632,412.33715591
South Ossetia,,,,,,,,,,,,,,,,
Spain,858.86118926,901.98941822,940.32358644,998.2415387,1044.68851224,1101.08366967,1164.27192764,1244.07073182,1421.08943469,1500.09462395,1600.94491288,1808.37111472,1954.85681379,2157.41310598,2258.07264055,2204.27759483
Sri Lanka,32.10741366,33.6450496,34.18324976,44.40318349,43.37709957,49.14092112,46.68444298,46.69803618,49.76506603,63.42615844,66.78220614,76.374031,77.3506108,71.79518857,68.93582066,66.42722548
Sudan,4.27684482,9.41431695,9.14583905,10.46918786,8.57852091,11.36800506,12.78463452,13.87606591,16.79265817,19.74020599,22.10684214,29.13342296,40.02626717,48.66775624,43.89570968,42.16181178
Suriname,107.51124398,128.24129486,145.09970114,201.92160648,170.67880522,170.70490297,179.85330594,173.02241219,174.68967408,189.80539118,212.62200467,254.13328843,251.44094629,230.14597018,289.35306206,250.16554167
Svalbard,,,,,,,,,,,,,,,,
Swaziland,82.6658261,92.09744242,87.61850067,92.34938587,99.16169752,109.82974615,112.9095238,121.27910061,155.12261687,139.41494773,158.36620443,189.32587203,183.0384401,212.1236647,223.4866075,211.7362733
Sweden,1508.42873375,1614.71181133,1617.93122355,1700.08272683,1825.50030904,1940.6577234,2029.34056117,2199.91563711,2322.37469271,2403.85645998,2404.91251564,2590.20832829,2792.1038286,2969.12512737,3032.71769226,3046.77952003
Switzerland,1364.31439917,1480.20870386,1557.44560943,1624.11408698,1689.19071543,1779.08478172,1935.43033843,2103.76746145,2184.55188645,2278.87743458,2367.19821216,2488.09263683,2690.87805393,2908.86302122,3048.71154855,3183.56299716
Syria,68.37908167,63.29599332,61.67738388,67.88222969,66.60954319,65.91276709,73.07768361,78.91099238,87.73459073,83.07551854,85.79249359,81.31507784,86.94384468,76.67971315,83.81210358,80.13259612
Taiwan,,,,,,,,,,,,,,,,
Tajikistan,10.83291016,9.10167841,11.48409297,8.62029037,8.16852996,8.12732029,9.10305542,9.55231415,10.71393568,12.51664814,17.16050942,18.45756363,21.07563021,26.5295291,30.72420205,34.23773598
Tanzania,9.67724543,8.85681686,10.66033913,9.70016334,9.38164045,10.94766699,12.67883855,12.81115553,16.53971451,14.69799875,19.60783427,42.81618132,43.62786144,42.91819398,48.36505649,56.16554299
Thailand,76.79670218,89.43483,105.78405961,90.10407861,88.41050734,92.88427027,94.05920646,125.10476288,131.64553829,142.21566642,152.51969508,182.37146605,209.61346806,242.10500384,244.22871296,247.41870567
Timor-Leste,91.30582431,66.50430688,123.69097706,52.45890729,44.73349344,47.70196322,51.99165062,50.53353875,52.70952844,58.57924317,83.92264857,93.0905331,82.55213598,78.69775127,68.06560506,46.88450365
Togo,12.54407556,12.33055547,12.39280028,13.27535042,11.58731933,11.33998649,9.47160709,7.15064644,11.1059202,13.26922302,16.26887386,20.34556323,20.01627416,22.94816877,31.84890596,34.01179905
Tokelau,,,,,,,,,,,,,,,,
Tonga,78.06573313,82.86274492,90.80871886,99.8840376,123.10307655,114.87847933,155.6398179,144.74108824,166.79306505,162.77560456,234.84434469,204.2574726,247.6355436,238.22678379,167.18798105,186.7806484
Transnistria,,,,,,,,,,,,,,,,
Trinidad and Tobago,202.6235765,189.56617489,191.58438408,157.1895486,215.68436882,205.94266256,256.13698145,347.90387486,402.59852469,436.73993788,600.46012249,622.59529533,594.96053793,569.13493284,887.74469871,868.06938724
Tunisia,114.51225746,116.94815342,122.07346621,129.46759672,137.38785955,159.63412041,162.31948542,163.56070096,176.60888356,197.98924788,208.27661969,230.94870283,245.79819487,269.03729018,262.66732804,262.20727917
Turkey,125.58576387,154.04763285,186.13907229,221.53463347,238.02799728,285.59809204,302.55297773,328.15805153,337.50591742,389.02523135,421.16714901,511.92452493,569.46050583,663.48144706,719.20074925,773.94831342
Turkmenistan,30.87753732,35.06014665,47.99874682,51.55815566,41.00868762,66.17263184,70.64908783,70.984977,93.61724527,99.82066335,96.23947225,83.70125215,85.50499752,73.6698231,107.08486521,118.03476256
Turks and Caicos Islands,,,,,,,,,,,,,,,,
Tuvalu,77.50111652,173.48260548,140.19912116,170.26845021,187.63906245,324.54725227,379.26301341,347.44083013,493.93463243,393.39508443,414.70782723,463.75886653,443.38884099,567.19348502,387.84827611,472.22323137
Uganda,9.17098104,10.01903333,11.01924618,10.03210732,13.75900855,12.22184448,14.13822351,17.01599051,17.87769602,16.45422878,20.8540937,20.90967283,19.70390481,20.08055826,25.70378847,27.04301607
Ukraine,132.44210479,114.96193387,100.38232286,104.4209266,88.75606185,95.41902156,114.09732486,140.73335898,182.41643454,202.86136427,213.64657014,242.94104039,274.85695107,280.25383907,272.60295755,293.8420018
United Arab Emirates,752.53521782,719.24385027,756.05225194,784.88775895,720.02835109,664.09137389,776.5764435,683.71674643,700.2990687,633.71696321,550.14950249,553.58466978,563.56664708,612.96653605,1504.89089705,1147.93413846
United Kingdom,1128.97063854,1188.54198122,1190.00251416,1246.21568252,1347.19723754,1447.35467379,1594.01035319,1742.87295166,1854.66094445,2066.30854123,2208.04861132,2408.81183734,2446.14116575,2662.95495693,2893.05261528,2918.89088573
United States,1683.12440382,1753.84010037,1811.22843824,1843.05828445,1916.39191514,2031.76538126,2231.18283341,2404.82062469,2608.07098,2785.6029496,2953.58240435,3174.43449391,3356.07026825,3554.23874358,3794.85208685,4436.60704926
Uruguay,475.83328172,424.0107717,286.86888054,320.03732494,539.1119008,519.90858111,502.3650273,455.11458559,395.25670685,362.94513377,403.96793843,456.10209869,489.74094923,623.22533669,718.14162697,796.70650551
USSR,,,,,,,,,,,,,,,,
Uzbekistan,42.52525714,44.4076002,41.74653643,38.78474762,38.54736555,36.21404166,38.70162407,38.52395179,39.90828189,41.67545568,45.98818928,54.32276307,56.71108253,68.71568398,80.26021624,87.39477584
Wallis et Futuna,,,,,,,,,,,,,,,,
Vanuatu,27.79438977,23.19146868,31.96693823,96.3717226,83.78088333,92.04565154,90.27149601,89.33825097,87.59834558,85.47161109,83.38905836,95.23794575,132.17249686,159.63137617,188.46085034,217.44513425
Venezuela,148.9987631,121.85487644,121.16875077,127.62975662,170.41916876,199.80663471,212.91216928,177.4545842,165.02228285,203.71091636,232.42898743,263.50737025,325.98904591,308.28973252,294.07233473,205.50313644
West Bank and Gaza,,,,,,,,,,,,,,,,
West Germany,,,,,,,,,,,,,,,,
Western Sahara,,,,,,,,,,,,,,,,
Vietnam,17.10808387,17.41583605,18.62727709,21.30249561,22.20742989,22.79777672,26.51476408,25.45096118,29.52644938,29.29040825,33.10656953,50.15745044,73.03706,63.0595996,76.41427271,81.48723828
Virgin Islands (U.S.),,,,,,,,,,,,,,,,
North Yemen (former),,,,,,,,,,,,,,,,
South Yemen (former),,,,,,,,,,,,,,,,
Yemen,22.94287734,34.9822675,37.66764963,47.93894008,45.27065062,47.88679344,53.82787577,53.83790631,59.81293918,44.06171703,39.41969212,41.99896238,41.23227037,43.46283828,36.92070981,29.52417218
Yugoslavia,,,,,,,,,,,,,,,,
Zambia,28.28864994,32.25671546,36.6577899,35.5298624,25.3199739,26.50901891,32.1842101,41.47606812,41.70008675,41.25152412,44.45227678,47.63306659,42.87848713,50.67649975,52.82164555,54.37256589
Zimbabwe,31.45901549,29.59361884,31.86007437,46.19169035,27.03307976,36.6975584,21.47443572,,,,,,,,,
Åland,,,,,,,,,,,,,,,,
South Sudan,,,,,,,,,,,,,,,,
Christian,,,,,,,,,,,,,,,,
Coastline,,,,,,,,,,,,,,,,